ID;Name;Model;DataCategory;Description;IsHidden;StorageMode;TableStorage;Expression;ShowAsVariationOnly;IsPrivate;CalculationGroupPrecedence;LineageTag
556618;"PROMEDIO_ESTANCIA";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (556618)";"";False;False;;"87a2caa6-6f66-4588-8f97-a4affe49c920"
556621;"LocalDateTable_c6c9bc76-e106-4d6a-93bd-b53a0b8d66a9";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable c6c9bc76 e106 4d6a 93bd b53a0b8d66a9 (556621)";"Calendar(Date(Year(MIN('PROMEDIO_ESTANCIA'[FECHA_SALIDA_SERV])), 1, 1), Date(Year(MAX('PROMEDIO_ESTANCIA'[FECHA_SALIDA_SERV])), 12, 31))";True;False;;"73a0433e-23ff-4e23-bc0f-7cc69b0175b3"
556624;"LocalDateTable_0741051d-a784-47a4-a41e-32116358492e";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 0741051d a784 47a4 a41e 32116358492e (556624)";"Calendar(Date(Year(MIN('PROMEDIO_ESTANCIA'[FECHA])), 1, 1), Date(Year(MAX('PROMEDIO_ESTANCIA'[FECHA])), 12, 31))";True;False;;"77926bbc-414b-4952-aeac-52efcd06fcd6"
556627;"LocalDateTable_60d9e697-45c6-4cc8-ab9a-cb3de2ea0daf";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 60d9e697 45c6 4cc8 ab9a cb3de2ea0daf (556627)";"Calendar(Date(Year(MIN('PROMEDIO_ESTANCIA'[FECHA_INGRESO])), 1, 1), Date(Year(MAX('PROMEDIO_ESTANCIA'[FECHA_INGRESO])), 12, 31))";True;False;;"1032b615-57aa-4c36-b194-cfcc2b6b7f2c"
556630;"LocalDateTable_9e7a955a-4e14-4e00-9136-e0e15351d8c7";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 9e7a955a 4e14 4e00 9136 e0e15351d8c7 (556630)";"Calendar(Date(Year(MIN('PROMEDIO_ESTANCIA'[FECHA_INGRESO_SERVICIO])), 1, 1), Date(Year(MAX('PROMEDIO_ESTANCIA'[FECHA_INGRESO_SERVICIO])), 12, 31))";True;False;;"00e42b2e-3765-4e80-be30-b0e7805e4ebd"
556633;"LocalDateTable_7c4ea561-fccc-4d3c-8855-11f8d20177f3";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 7c4ea561 fccc 4d3c 8855 11f8d20177f3 (556633)";"Calendar(Date(Year(MIN('PROMEDIO_ESTANCIA'[FECHA_EGR])), 1, 1), Date(Year(MAX('PROMEDIO_ESTANCIA'[FECHA_EGR])), 12, 31))";True;False;;"1977abe5-dab7-4ec4-b045-ed4b93ea70b9"
556636;"LocalDateTable_92dd464b-e2e7-4f9b-a8ec-56b51a2e0577";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 92dd464b e2e7 4f9b a8ec 56b51a2e0577 (556636)";"Calendar(Date(Year(MIN('PROMEDIO_ESTANCIA'[FECHA_EGRESO])), 1, 1), Date(Year(MAX('PROMEDIO_ESTANCIA'[FECHA_EGRESO])), 12, 31))";True;False;;"6d3f0ac9-012e-4ba8-9bbb-5823bfb0cb50"
560663;"CAMAS";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (560663)";"";False;False;;"a4d08ea1-6305-422b-adaa-d20db072f123"
561702;"SERVICIO";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (561702)";"";False;False;;"cec47901-cc39-4203-b138-752e5d65d3e5"
599744;"PARTOS_DRIVE";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Hoja1 (599744)";"";False;False;;"3f316ee5-ec00-4ce6-8474-9e49ebfb5523"
744108;"LocalDateTable_ea2be855-3a41-4d3d-9eaf-c1d60b093be9";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable ea2be855 3a41 4d3d 9eaf c1d60b093be9 (744108)";"Calendar(Date(Year(MIN('CIRUGIAS'[FECHA_CIRUGIA])), 1, 1), Date(Year(MAX('CIRUGIAS'[FECHA_CIRUGIA])), 12, 31))";True;False;;"47ba6b21-e391-439b-a440-432107e78874"
835737;"TERCERO";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (835737)";"";False;False;;"d7a7bab0-6956-42e7-9a1c-977202bdb2a8"
987322;"EGRESOS Y TRASLADOS";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (987322)";"";False;False;;"71565146-ef7d-41d8-8952-3c2d211c4dd5"
987325;"LocalDateTable_058e66b7-704b-43f7-afc0-81a69284401d";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 058e66b7 704b 43f7 afc0 81a69284401d (987325)";"Calendar(Date(Year(MIN('EGRESOS Y TRASLADOS'[FECHA_INGRESO_CAMA])), 1, 1), Date(Year(MAX('EGRESOS Y TRASLADOS'[FECHA_INGRESO_CAMA])), 12, 31))";True;False;;"340967ad-0d8d-43c7-9031-3aeb948993f7"
987328;"LocalDateTable_9647f585-f449-495d-9e18-e8ff38b3c511";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 9647f585 f449 495d 9e18 e8ff38b3c511 (987328)";"Calendar(Date(Year(MIN('EGRESOS Y TRASLADOS'[FECHA_EGRESO_CAMA])), 1, 1), Date(Year(MAX('EGRESOS Y TRASLADOS'[FECHA_EGRESO_CAMA])), 12, 31))";True;False;;"b2334052-9a42-4839-93db-3d5dd94e29bd"
987334;"LocalDateTable_ebeb447a-abfc-49d8-ac73-777acd3bb194";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable ebeb447a abfc 49d8 ac73 777acd3bb194 (987334)";"Calendar(Date(Year(MIN('EGRESOS Y TRASLADOS'[FECHA_INGRESO_INST])), 1, 1), Date(Year(MAX('EGRESOS Y TRASLADOS'[FECHA_INGRESO_INST])), 12, 31))";True;False;;"5be4043a-e203-441f-953f-91ca0401bda7"
987337;"LocalDateTable_a2cb25e7-e5bc-4aaf-bb69-620ba17c65a6";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable a2cb25e7 e5bc 4aaf bb69 620ba17c65a6 (987337)";"Calendar(Date(Year(MIN('EGRESOS Y TRASLADOS'[FECHA_EGRESO_FACTURACION])), 1, 1), Date(Year(MAX('EGRESOS Y TRASLADOS'[FECHA_EGRESO_FACTURACION])), 12, 31))";True;False;;"0087778b-4500-402e-80b1-691faf33c778"
994331;"LocalDateTable_4badb09a-ac87-4e70-9cc0-b28b4846f557";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 4badb09a ac87 4e70 9cc0 b28b4846f557 (994331)";"Calendar(Date(Year(MIN('EGRESOS Y TRASLADOS'[FECHA_EGRESO_FINAL])), 1, 1), Date(Year(MAX('EGRESOS Y TRASLADOS'[FECHA_EGRESO_FINAL])), 12, 31))";True;False;;"6c35238c-8782-4c14-9d4b-2f6396d2c3b2"
1008501;"LocalDateTable_e1c8162b-17d9-4679-af40-6d75f1093c7d";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable e1c8162b 17d9 4679 af40 6d75f1093c7d (1008501)";"Calendar(Date(Year(MIN('CIRUGIAS'[FECHA_INGRESO])), 1, 1), Date(Year(MAX('CIRUGIAS'[FECHA_INGRESO])), 12, 31))";True;False;;"7d646aae-8057-4760-9071-6820fca7515c"
1079096;"LocalDateTable_eed84406-596f-42e6-87d0-2164af7ce37a";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable eed84406 596f 42e6 87d0 2164af7ce37a (1079096)";"Calendar(Date(Year(MIN('CIRUGIAS'[FECHA_SOLCITUD])), 1, 1), Date(Year(MAX('CIRUGIAS'[FECHA_SOLCITUD])), 12, 31))";True;False;;"f6824843-9843-4e20-b35e-40ea38124308"
1122947;"MostrarProyeccion";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Tabla (1122947)";"
DATATABLE (
    ""Opcion"", STRING,
    {
        { ""SI"" },
        { ""No"" }
    }
)";False;False;;"4890265e-c6bb-4f6d-bf7e-2ecdaf94d599"
1237153;"ATENCIONES_IMAGENES";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"ATENCIONES IMAGENES (1237153)";"";False;False;;"20fa41ff-a073-4726-8a57-4aabb358a175"
1237156;"ATENCIONES_LABORATORIO";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"ATENCIONES LABORATORIO (1237156)";"";False;False;;"adc192ad-2522-43ef-9536-8a603f60977f"
1237159;"CIRUGIAS_ARC";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"CIRUGIAS  2  (1237159)";"";False;False;;"57aedcbd-181d-45bb-81dc-673ee33ef7d8"
1237162;"CONSULTA_AMBULATORIAS";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"CONSULTA AMBULATORIAS (1237162)";"";False;False;;"e540aed1-503d-4c0e-946f-32508bed61d3"
1237165;"EGRESOS";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"EGRESOS (1237165)";"";False;False;;"b58340bc-182e-40b8-bf84-1a223b609e12"
